,P3.1,P3.2,P3.3,P3.4,P3.5,P3.6,P3.7,P3.8,P3.9,pos3.1,pos3.2,pos3.3,pos3.4,pos3.5,pos3.6,pos3.7,pos3.8,pos3.9,pos3.10,neg3.1,neg3.2,neg3.3,neg3.4,neg3.5,neg3.6
P3.1,2,1,1,,,1,1,,1,,,,,,,,,,,,,,,1,
P3.2,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,1,
P3.3,1,1,1,,3,1,1,,,1,4,,,,,,,,,5,4,3,2,1,
P3.4,,,,1,,,,,,,,,,,,,,,,,,,,,
P3.5,,,3,,6,,,,1,,,,,,,,,,,5,3,2,4,,1
P3.6,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,1,
P3.7,1,1,1,,,1,7,2,1,,,,,,,,,,,,,,1,1,
P3.8,,,,,,,2,4,,,,,,,,,,,,,,1,1,,
P3.9,1,1,,,1,1,1,,3,,,,,,1,,,,,1,,,,1,1
pos3.1,,,1,,,,,,,1,,,,,,,,,,1,,,,,
pos3.2,,,4,,,,,,,,5,,,,,,,,,2,3,,,,
pos3.3,,,,,,,,,,,,1,,,,,,,,,,1,,,
pos3.4,,,,,,,,,,,,,1,,,,,,,,,,1,,
pos3.5,,,,,,,,,,,,,,2,,,,,,,,,,,
pos3.6,,,,,,,,,1,,,,,,3,,,,,,,,,,1
pos3.7,,,,,,,,,,,,,,,,1,,,,,,,,,
pos3.8,,,,,,,,,,,,,,,,,7,3,,,,,,,
pos3.9,,,,,,,,,,,,,,,,,3,8,,,,,,,
pos3.10,,,,,,,,,,,,,,,,,,,3,,,,,,
neg3.1,,,5,,5,,,,1,1,2,,,,,,,,,1,5,2,2,,1
neg3.2,,,4,,3,,,,,,3,,,,,,,,,5,6,1,2,,
neg3.3,,,3,,2,,,1,,,,1,,,,,,,,2,1,9,3,,
neg3.4,,,2,,4,,1,1,,,,,1,,,,,,,2,2,3,6,,
neg3.5,1,1,1,,,1,1,,1,,,,,,,,,,,,,,,6,
neg3.6,,,,,1,,,,1,,,,,,1,,,,,1,,,,,4